,Unnamed: 0,time,longitude,latitude
55,55,14:06:15,106.258,4.04852
56,56,14:06:20,106.26,4.03815
57,57,14:06:25,106.262,4.02778
58,58,14:06:35,106.264,4.01741
59,59,14:06:40,106.266,4.00704
60,60,14:06:44,106.268,3.99668
61,61,14:06:45,106.27,3.98631
62,62,14:06:50,106.272,3.97594
63,63,14:06:55,106.273,3.96541
64,64,14:07:00,106.272,3.95488
65,65,14:07:10,106.27,3.9445
66,66,14:07:15,106.267,3.93442
67,67,14:07:19,106.263,3.92478
68,68,14:07:20,106.257,3.91574
69,69,14:07:25,106.251,3.90741
70,70,14:07:30,106.243,3.89992
71,71,14:07:35,106.235,3.89314
72,72,14:07:45,106.227,3.88636
73,73,14:07:50,106.219,3.87958
74,74,14:07:54,106.211,3.8728
75,75,14:07:55,106.203,3.86602
76,76,14:08:00,106.195,3.85924
77,77,14:08:05,106.187,3.85246
78,78,14:08:10,106.178,3.84568
79,79,14:08:20,106.17,3.8389
80,80,14:08:25,106.162,3.83212
81,81,14:08:29,106.154,3.82534
82,82,14:08:30,106.146,3.81856
83,83,14:08:35,106.138,3.81178
84,84,14:08:40,106.13,3.805
85,85,14:08:45,106.122,3.79822
86,86,14:08:55,106.114,3.79144
87,87,14:09:00,106.106,3.78466
88,88,14:09:04,106.097,3.77788
89,89,14:09:05,106.089,3.7711
90,90,14:09:10,106.081,3.76432
91,91,14:09:15,106.073,3.75754
92,92,14:09:20,106.065,3.75076
93,93,14:09:30,106.057,3.74398
94,94,14:09:35,106.049,3.73719
95,95,14:09:39,106.041,3.73041
96,96,14:09:40,106.033,3.72363
97,97,14:09:45,106.025,3.71685
98,98,14:09:50,106.016,3.71007
99,99,14:09:55,106.009,3.70237
100,100,14:10:05,106.003,3.69385
101,101,14:10:10,105.998,3.68465
102,102,14:10:14,105.994,3.67489
103,103,14:10:15,105.991,3.66472
104,104,14:10:20,105.989,3.65429
105,105,14:10:25,105.989,3.64375
106,106,14:10:30,105.99,3.63325
107,107,14:10:40,105.992,3.62294
108,108,14:10:45,105.996,3.61298
109,109,14:10:49,106.001,3.60351
110,110,14:10:50,106.006,3.59466
111,111,14:10:55,106.012,3.58596
112,112,14:11:00,106.018,3.57726
113,113,14:11:05,106.024,3.56855
114,114,14:11:15,106.03,3.55985
115,115,14:11:20,106.036,3.55115
116,116,14:11:24,106.042,3.54244
117,117,14:11:25,106.048,3.53374
118,118,14:11:30,106.054,3.52504
119,119,14:11:35,106.06,3.51634
120,120,14:11:40,106.066,3.50763
121,121,14:11:50,106.072,3.49893
122,122,14:11:55,106.078,3.49023
123,123,14:11:59,106.084,3.48152
124,124,14:12:00,106.09,3.47282
125,125,14:12:05,106.096,3.46412
126,126,14:12:10,106.102,3.45542
127,127,14:12:15,106.108,3.44671
128,128,14:12:25,106.114,3.43801
129,129,14:12:30,106.12,3.42931
130,130,14:12:34,106.126,3.4206
131,131,14:12:35,106.132,3.4119
132,132,14:12:40,106.138,3.4032
133,133,14:12:45,106.144,3.39449
134,134,14:12:50,106.15,3.38579
135,135,14:13:00,106.156,3.37709
136,136,14:13:05,106.161,3.36839
137,137,14:13:09,106.167,3.35968
138,138,14:13:10,106.173,3.35098
139,139,14:13:15,106.179,3.34228
140,140,14:13:20,106.185,3.33357
141,141,14:13:25,106.191,3.32487
142,142,14:13:35,106.197,3.31617
143,143,14:13:40,106.203,3.30747
144,144,14:13:44,106.209,3.29876
145,145,14:13:45,106.215,3.29006
146,146,14:13:50,106.221,3.28136
147,147,14:13:55,106.227,3.27265
148,148,14:14:00,106.233,3.26395
149,149,14:14:10,106.239,3.25525
150,150,14:14:15,106.245,3.24656
151,151,14:14:19,106.251,3.23786
152,152,14:14:20,106.257,3.22916
153,153,14:14:25,106.263,3.22046
154,154,14:14:30,106.269,3.21176
155,155,14:14:35,106.275,3.20307
156,156,14:14:45,106.281,3.19437
157,157,14:14:50,106.287,3.18567
158,158,14:14:54,106.293,3.17697
159,159,14:14:55,106.299,3.16827
160,160,14:15:00,106.305,3.15958
161,161,14:15:05,106.311,3.15088
162,162,14:15:10,106.317,3.14218
163,163,14:15:20,106.323,3.13348
164,164,14:15:25,106.329,3.12479
165,165,14:15:29,106.335,3.11609
166,166,14:15:30,106.341,3.10739
167,167,14:15:35,106.347,3.09869
168,168,14:15:40,106.353,3.08999
169,169,14:15:45,106.359,3.0813
170,170,14:15:55,106.365,3.0726
171,171,14:16:00,106.371,3.0639
172,172,14:16:04,106.377,3.0552
173,173,14:16:05,106.383,3.04651
174,174,14:16:10,106.389,3.03781
175,175,14:16:15,106.394,3.02911
176,176,14:16:20,106.4,3.02041
177,177,14:16:30,106.406,3.01171
178,178,14:16:35,106.412,3.00302
179,179,14:16:39,106.418,2.99432
180,180,14:16:40,106.424,2.98562
181,181,14:16:45,106.43,2.97692
182,182,14:16:50,106.436,2.96822
183,183,14:16:55,106.442,2.95953
184,184,14:17:05,106.448,2.95083
185,185,14:17:10,106.454,2.94213
186,186,14:17:14,106.46,2.93343
187,187,14:17:15,106.465,2.92408
188,188,14:17:20,106.469,2.91421
189,189,14:17:25,106.472,2.90403
190,190,14:17:30,106.474,2.89377
191,191,14:17:40,106.476,2.88347
192,192,14:17:45,106.479,2.87316
193,193,14:17:49,106.481,2.86283
194,194,14:17:50,106.483,2.85246
195,195,14:17:55,106.485,2.84209
196,196,14:18:00,106.487,2.83172
